iplantitem1,relation,iplantitem2
小叶买麻藤,经济用途,中国食用(淀粉)植物
棉属,经济用途,中国食用(淀粉)植物
藤黄科,经济用途,中国食用(淀粉)植物
马蛋果,经济用途,中国食用(淀粉)植物
大叶石头花,经济用途,中国食用(淀粉)植物
北芸香,经济用途,中国食用(淀粉)植物
荸荠,经济用途,中国食用(淀粉)植物
向日葵,经济用途,中国食用(淀粉)植物
菊芋,经济用途,中国食用(淀粉)植物
广东山龙眼,经济用途,中国食用(淀粉)植物
深绿山龙眼,经济用途,中国食用(淀粉)植物
枇杷叶山龙眼,经济用途,中国食用(淀粉)植物
焰序山龙眼,经济用途,中国食用(淀粉)植物
网脉山龙眼,经济用途,中国食用(淀粉)植物
调羹树,经济用途,中国食用(淀粉)植物
痄腮树,经济用途,中国食用(淀粉)植物
七指蕨,经济用途,中国食用(淀粉)植物
黄花菜,经济用途,中国食用(淀粉)植物
半蒴苣苔属,经济用途,中国食用(淀粉)植物
半蒴苣苔,经济用途,中国食用(淀粉)植物
沙棘属,经济用途,中国食用(淀粉)植物
西藏沙棘,经济用途,中国食用(淀粉)植物
油渣果,经济用途,中国食用(淀粉)植物
八月瓜属,经济用途,中国食用(淀粉)植物
鹰爪枫,经济用途,中国食用(淀粉)植物
五月瓜藤,经济用途,中国食用(淀粉)植物
玉簪,经济用途,中国食用(淀粉)植物
蕺菜,经济用途,中国食用(淀粉)植物
枳椇属,经济用途,中国食用(淀粉)植物
枳椇,经济用途,中国食用(淀粉)植物
仔榄树,经济用途,中国食用(淀粉)植物
水鳖,经济用途,中国食用(淀粉)植物
量天尺,经济用途,中国食用(淀粉)植物
孪叶豆,经济用途,中国食用(淀粉)植物
茶茱萸科,经济用途,中国食用(淀粉)植物
红茴香,经济用途,中国食用(淀粉)植物
闽皖八角,经济用途,中国食用(淀粉)植物
八角,经济用途,中国食用(淀粉)植物
槽茎凤仙花,经济用途,中国食用(淀粉)植物
丝茅,经济用途,中国食用(淀粉)植物
花木蓝,经济用途,中国食用(淀粉)植物
甜大节竹,经济用途,中国食用(淀粉)植物
粗穗大节竹,经济用途,中国食用(淀粉)植物
摆竹,经济用途,中国食用(淀粉)植物
瘤枝微花藤,经济用途,中国食用(淀粉)植物
番薯属,经济用途,中国食用(淀粉)植物
蕹菜,经济用途,中国食用(淀粉)植物
番薯,经济用途,中国食用(淀粉)植物
七爪龙,经济用途,中国食用(淀粉)植物
野核桃,经济用途,中国食用(淀粉)植物
黑老虎,经济用途,中国食用(淀粉)植物
山柰,经济用途,中国食用(淀粉)植物
马兰,经济用途,中国食用(淀粉)植物
刺楸,经济用途,中国食用(淀粉)植物
吊灯树,经济用途,中国食用(淀粉)植物
地肤,经济用途,中国食用(淀粉)植物
葫芦,经济用途,中国食用(淀粉)植物
瓠子,经济用途,中国食用(淀粉)植物
短柄野芝麻,经济用途,中国食用(淀粉)植物
珠芽艾麻,经济用途,中国食用(淀粉)植物
螫麻,经济用途,中国食用(淀粉)植物
心叶艾麻,经济用途,中国食用(淀粉)植物
刺芋,经济用途,中国食用(淀粉)植物
樟科,经济用途,中国食用(淀粉)植物
尖叶桂樱,经济用途,中国食用(淀粉)植物
月桂,经济用途,中国食用(淀粉)植物
兵豆,经济用途,中国食用(淀粉)植物
钻叶火绒草疏叶变种,经济用途,中国食用(淀粉)植物
独行菜,经济用途,中国食用(淀粉)植物
抱茎独行菜,经济用途,中国食用(淀粉)植物
胡枝子,经济用途,中国食用(淀粉)植物
欧当归,经济用途,中国食用(淀粉)植物
女贞,经济用途,中国食用(淀粉)植物
百合科,经济用途,中国食用(淀粉)植物
百合属,经济用途,中国食用(淀粉)植物
野百合,经济用途,中国食用(淀粉)植物
