entity,relation,value
兰香草,治疗,疮肿
兰香草,治疗,湿疹
兰香草,治疗,崩漏
兰香草,治疗,白带
兰香草,治疗,月经不调
蓝桉,治疗,风湿
蓝桉,治疗,扭伤
蓝侧金盏花,治疗,疮疥
蓝侧金盏花,治疗,皮癣
蓝侧金盏花,治疗,皮肤病
木蓝,治疗,肿毒
岩白菜,治疗,虚弱头晕
岩白菜,治疗,劳伤咳嗽
岩白菜,治疗,吐血
岩白菜,治疗,咯血
岩白菜,治疗,淋浊
岩白菜,治疗,白带
岩白菜,治疗,肿毒
郎伞木,治疗,腰骨疼痛
郎伞木,治疗,跌打
狼毒,治疗,疥癣
四方麻,治疗,红白痢疾
四方麻,治疗,喉痛
四方麻,治疗,目赤
四方麻,治疗,黄肿
四方麻,治疗,淋病
虎尾草,治疗,疮疖
虎尾草,治疗,刀伤
朗县虎耳草,治疗,肺结核
朗县虎耳草,治疗,脓胸
细柄凤仙花,治疗,痨伤
心萼薯,治疗,小儿疳积
喙果崖豆藤,治疗,风湿关节痛
毛茛,治疗,疮癣
老虎须,治疗,跌打瘀肿
老虎须,治疗,毒蛇咬伤
一品红,治疗,跌打损伤
老牛筋,治疗,肝炎
老牛筋,治疗,小儿疳积
铁包金,治疗,跌打损伤
铁包金,治疗,蛇咬伤
多被银莲花,治疗,风湿性腰腿痛
多被银莲花,治疗,关节炎
多被银莲花,治疗,疮疖痈毒
老鸦糊,治疗,小米丹
老鸦糊,治疗,血崩
醉魂藤,治疗,风湿
醉魂藤,治疗,胎毒
醉魂藤,治疗,疟疾
秃疮花,治疗,风火牙痛
秃疮花,治疗,咽喉痛
秃疮花,治疗,扁桃体炎
秃疮花,治疗,淋巴结核
秃疮花,治疗,秃疮
秃疮花,治疗,疮疖疥癣
秃疮花,治疗,痈疽
簕欓花椒,治疗,多类痛症
岩藿香,治疗,跌打红肿
岩藿香,治疗,风热咳嗽
藜,治疗,痢疾
藜,治疗,腹泻
藜,治疗,皮肤湿毒
藜,治疗,周身发痒
小叶乌药,治疗,跌打
荔枝,治疗,心气痛
荔枝,治疗,小肠气痛
圆果算盘子,治疗,感冒发热
圆果算盘子,治疗,暑热口渴
圆果算盘子,治疗,口腔炎
圆果算盘子,治疗,刀伤出血
圆果算盘子,治疗,骨折
圆果算盘子,治疗,湿疹
圆果算盘子,治疗,疮疡
短尾铁线莲,治疗,尿道感染
短尾铁线莲,治疗,尿频
短尾铁线莲,治疗,尿道痛
短尾铁线莲,治疗,口舌生疮
短尾铁线莲,治疗,乳汁不通
盾叶唐松草,治疗,小儿抽风
盾叶唐松草,治疗,小儿白口疮
连翘,治疗,高血压
连翘,治疗,痢疾
连翘,治疗,咽喉痛
镰荚棘豆,治疗,刀伤
两头毛,治疗,跌打损伤
两头毛,治疗,风湿骨痛
两头毛,治疗,月经不调
两头毛,治疗,痈肿
两头毛,治疗,胸肋疼痛
两头毛,治疗,腹泻
列当,治疗,阳痿
列当,治疗,腰酸腿软
列当,治疗,小儿腹泻
裂果薯,治疗,牙痛
裂果薯,治疗,跌打
裂果薯,治疗,疮疡肿毒
鳞花草,治疗,眼病
鳞花草,治疗,蛇伤
鳞花草,治疗,伤口感染
鳞花草,治疗,皮肤湿疹
灵香草,治疗,感冒头痛
灵香草,治疗,齿痛
灵香草,治疗,胸闷腹胀
羊蹄甲,治疗,咳嗽
凌霄,治疗,跌打损伤
琉璃草属,治疗,急性肾炎
琉璃草属,治疗,月经不调
琉璃草属,治疗,肝炎
琉璃草属,治疗,白带
琉璃草属,治疗,水肿
琉璃草属,治疗,疮疖痛肿
琉璃草属,治疗,毒蛇咬伤
琉璃草属,治疗,跌打损伤
琉璃草,治疗,疮疖痈肿
琉璃草,治疗,跌打损伤
琉璃草,治疗,毒蛇咬伤
琉璃草,治疗,黄胆
琉璃草,治疗,痢疾
琉璃草,治疗,尿痛
琉璃草,治疗,肺结核咳嗽
瘤毛獐牙菜,治疗,黄疸型肝炎
瘤毛獐牙菜,治疗,菌痢
瘤毛獐牙菜,治疗,消化不良
柳穿鱼,治疗,风湿性心脏病
柳叶钝果寄生,治疗,孕妇腰痛
柳叶钝果寄生,治疗,安胎
蒌蒿,治疗,黄胆型
六角莲,治疗,毒蛇咬伤
六角莲,治疗,跌打损伤
锈毛络石,治疗,跌打损伤
细锥香茶菜,治疗,刀伤
宜昌楼梯草,治疗,火烫伤
红花龙胆,治疗,肝炎
红花龙胆,治疗,支气管炎
红花龙胆,治疗,小便不利
龙蒿,治疗,暑湿发热
龙蒿,治疗,虚劳
龙脷叶,治疗,咳嗽
龙脷叶,治疗,喉痛
龙脷叶,治疗,急性支气管炎
大叶金腰,治疗,小儿惊风
大叶金腰,治疗,耳部疾病
蛇莓,治疗,疮
蛇莓,治疗,蛇咬伤
蛇莓,治疗,烫伤
蛇莓,治疗,烧伤
蛇莓,治疗,支气管炎
蛇莓,治疗,农业害虫
蛇莓,治疗,杀蛆
蛇莓,治疗,孑孓
石蒜,治疗,咽喉肿痛
石蒜,治疗,痈肿疮毒
石蒜,治疗,瘰疬
